size,time_ms,swap_count,ran,sorted,note
50,0.138,610,true,true,
100,0.062,2881,true,true,
200,0.271,9540,true,true,
300,0.293,21412,true,true,
400,0.416,38965,true,true,
500,1.346,62653,true,true,
750,0.937,140961,true,true,
1000,1.986,250133,true,true,
1500,4.278,569794,true,true,
2000,7.072,1018669,true,true,
2500,11.362,1535486,true,true,
3000,15.681,2293023,true,true,
3500,20.678,3101542,true,true,
4000,27.601,3946594,true,true,
4500,34.155,5045849,true,true,
5000,43.073,6285692,true,true,
