size,time_ms,inversion_count,ran,sorted,note
50,0.323,610,true,true,
100,0.034,2881,true,true,
200,0.033,9540,true,true,
300,0.090,21412,true,true,
400,0.076,38965,true,true,
500,0.087,62653,true,true,
750,0.146,140961,true,true,
1000,0.195,250133,true,true,
1500,0.325,569794,true,true,
2000,0.415,1018669,true,true,
2500,0.233,1535486,true,true,
3000,0.418,2293023,true,true,
3500,0.521,3101542,true,true,
4000,0.603,3946594,true,true,
4500,0.635,5045849,true,true,
5000,0.459,6285692,true,true,
